MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,HUCEightDigitCode,StateCode,region,huc2
11NPSWRD_WQX-ERMN_DEWA_BMI_3039,Adams Creek 21,River/Stream,41.2518,-74.8817,2040104,42.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_POW,Powhite Creek in Richmond National Battlefield Park,River/Stream,37.57422,-77.30447,2080206,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_POW_1,Powhite Creek - 'Spot Shocking Upstream',River/Stream,37.57422,-77.30447,2080206,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_POW_2,Powhite Creek - 'Spot Shocking Downstream',River/Stream,37.57422,-77.30447,2080206,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_TOT,Totopotomoy Creek in Richmond National Battlefield Park,River/Stream,37.65243,-77.3459,2080106,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_TOT_1,Totopotomoy Creek - Side Channel Pool,River/Stream,37.65243,-77.3459,2080106,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_TOT_2,Totopotomoy Creek - 'Shocker',River/Stream,37.65243,-77.3459,2080106,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_TOT_3,Totopotomoy Creek - Below Bridge - 'Spot Shocking',River/Stream,37.65243,-77.3459,2080106,51.0,Mid-Atlantic / Chesapeake,02
11NPSWRD_WQX-RICH_FISH18_TOT_4,Powhite Creek - Isolated Floodplain - Pool Upstream of Bridge,River/Stream,37.65243,-77.3459,2080106,51.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-1736,NANT010.1-4276,River/Stream,42.204258,-76.053565,2050103,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-1977,WBOC013.0-4276,River/Stream,42.3424,-76.2444,2050103,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2480,CHIQ010.8-4076,River/Stream,40.10972222,-76.44944444,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2482,CHIQ013.6-4076,River/Stream,40.11555556,-76.425,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2483,LCHQ007.9-4076,River/Stream,40.12027778,-76.50027778,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2486,CHIQ011.5-4076,River/Stream,40.10805556,-76.44305556,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2487,CHIQ011.6-4076,River/Stream,40.10805556,-76.43972222,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2488,CHIQ011.7-4076,River/Stream,40.10972222,-76.43833333,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2531,HUNT003.7-4178,River/Stream,41.49222222,-78.13972222,2050202,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2532,HUNT005.2-4178,River/Stream,41.50617,-78.1202,2050202,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2533,GRAY002.0-4177,River/Stream,41.44916667,-77.01916667,2050206,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2546,CHIQ000.8-4076,River/Stream,40.055262,-76.518938,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2549,CHIQ018.8-4076,River/Stream,40.154849,-76.402704,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2591,CONY000.0-4076,River/Stream,40.07914,-76.661502,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2592,CONY002.2-4076,River/Stream,40.092967,-76.638889,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2593,CONY004.0-4076,River/Stream,40.112456,-76.626972,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2594,CONY005.7-4076,River/Stream,40.128822,-76.626111,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2596,CONY007.6-4076,River/Stream,40.146613,-76.604394,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2597,CONY009.5-4076,River/Stream,40.16405,-76.591944,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2598,NGLY000.2-4076,River/Stream,40.147509,-76.602303,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2599,SNTZ000.5-4076,River/Stream,40.114811,-76.690278,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2600,SNTZ003.6-4076,River/Stream,40.134147,-76.653333,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2601,UCOY000.0-4076,River/Stream,40.085856,-76.662596,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2602,UCOY000.1-4076,River/Stream,40.113044,-76.625833,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2603,UCOY000.4-4076,River/Stream,40.154878,-76.614722,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2604,UNCY000.0-4076,River/Stream,40.150136,-76.610872,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2605,USUS000.0-4076,River/Stream,40.119942,-76.711389,2050305,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2606,USUS000.1-4076,River/Stream,40.055908,-76.550747,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2607,USUS000.2-4076,River/Stream,40.105632,-76.68124,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2608,USUS000.3-4076,River/Stream,40.059993,-76.597774,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2609,USUS000.4-4076,River/Stream,40.063108,-76.611389,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2610,UTSQ000.2-4076,River/Stream,40.10295,-76.676783,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-2611,UTSQ000.4-4076,River/Stream,40.069024,-76.633529,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-ANDR000.4-4078,ANDR0.4,River/Stream,40.9725,-78.5275,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-ANDR004.2-4078,ANDR 4.2,River/Stream,40.99353,-78.57543,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-APAL000.4-4276,Apal,River/Stream,42.063124,-76.15029,2050103,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BACK000.2-4076,BACK 0.2,River/Stream,40.13267,-76.49313,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BAKR000.1-4177,BAKR0.1,River/Stream,41.24694444,-77.60666667,2050203,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD002.0-4276,Baldwin,River/Stream,42.04209,-76.72019,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD004.5-4177,BALD4.5,River/Stream,41.07055556,-77.47194444,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD005.8-4276,BALD 5.8,River/Stream,42.0822,-76.70972,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD011.0-4177,BEC 4,River/Stream,41.07944444,-77.55055556,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD027.0-4077,BEC 3,River/Stream,40.947847,-77.781211,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD034.0-4077,BEC 2,River/Stream,40.899678,-77.882001,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BALD047.0-4078,BEC 1,River/Stream,40.78942,-78.065937,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BEAV001.9-4076,BEAV 1.9,River/Stream,40.2758,-76.7483,2050305,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BECH001.7-4177,BECH0.1,River/Stream,41.07361111,-77.59166667,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BELG002.4-4078,BELG 2.4,River/Stream,40.6098,-78.3644,2050302,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BELG004.5-4078,BELLS GAP,River/Stream,40.63475,-78.38584,2050302,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BERM007.7-4077,BERM 7.7,River/Stream,40.00967,-77.01773,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BLDR001.4-4177,Bald Tioga,River/Stream,41.795924,-77.305315,2050205,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BLHC001.2-4176,BLHC 1.2,River/Stream,41.16909,-76.87717,2050206,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BLOC001.3-4177,BLOC,River/Stream,41.47393,-77.23044,2050205,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BOBS000.9-4078,BOBS 0.9,River/Stream,40.14805556,-78.55138889,2050303,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BOBS011.0-4078,BOBS,River/Stream,40.263878,-78.592581,2050303,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BOIL002.8-4076,BOIL 2.8,River/Stream,40.77414,-76.79782,2050301,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BOWN000.2-4176,BOWN 0.2,River/Stream,41.567439,-76.39398,2050106,42.0,Mid-Atlantic / Chesapeake,02
